"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"18"," Korea (Republic of)","12064","","13107","","13724","","14439","","15537","","16733","","17769","","18579","","17228","","19000","","20602","","21385","","22914","","23473","","24578","","25340","","26636","","27981","","28652","","28652","","30475","","31498","","32213","","32911","","33741","","34541",""
"51"," Kuwait","54475","","34854","","56707","","73523","","81796","","91233","","92375","","95311","","95833","","85569","","86626","","81516","","78042","","87775","","96507","","102756","","106549","","104275","","97087","","84115","","78516","","80857","","83050","","80066","","76075"," d","76075"," d"
"120"," Kyrgyzstan","3407","","3100","","2638","","2223","","1757","","1633","","1727","","1844","","1841","","1855","","1925","","2049","","2037","","2166","","2260","","2256","","2344","","2526","","2653","","2697","","2599","","2610","","2766","","2975","","3055","","3097",""
"138"," Lao People's Democratic Republic","1616","","1638","","1681","","1732","","1824","","1902","","1988","","2039","","2070","","2213","","2244","","2342","","2452","","2517","","2698","","2887","","2988","","3235","","3383","","3643","","3725","","3930","","4201","","4500","","4798","","5049",""
"44"," Latvia","15670","","14125","","9190","","7938","","8117","","8240","","8528","","9395","","10083","","10268","","10983","","11878","","12868","","14034","","15185","","17065","","18922","","20730","","20523","","19430","","18173","","19449","","20361","","21259","","22000","","22589",""
"76"," Lebanon","8829","","11315","","10510","","10654","","12100","","12735","","13086","","12598","","12817","","12632","","12573","","12295","","11590","","9812","","11825","","12152","","12342","","13685","","14629","","15533","","16066","","15728","","14961","","13935","","13582","","13312",""
"160"," Lesotho","2325","","2222","","2216","","2152","","2194","","2115","","2184","","2213","","2032","","2073","","2101","","2574","","2539","","2575","","2531","","2435","","2419","","2438","","2527","","2541","","2610","","2844","","2840","","3161","","3236","","3319",""
"177"," Liberia","630","","550","","364","","247","","192","","178","","189","","362","","437","","425","","650","","563","","534","","329","","498","","511","","523","","577","","600","","612","","621","","673","","669","","700","","691","","683",""
"102"," Libya","22856","","25839","","24606","","23209","","23191","","22233","","22283","","23037","","21870","","21581","","21652","","21444","","20937","","23477","","23419","","25776","","27810","","28878","","29006","","28333","","29143","","11041","","21688","","19354","","15360","","14303",""
"15"," Liechtenstein","62407","","62732","","64132","","65976","","69475","","72440","","76221","","80406","","85268","","91239","","94216","","84840","","81623","","76927","","76035","","81644","","90515","","100242","","97140","","82383","","86215","","76894","","68220","","76546","","75065"," d","75065"," d"
